Producto,precio,PrincipioActivo,farmacia
Azufre Barra Camel – Blíster 2 UN,2.5,,Hogar y Salud
Azufre en Barra Camel – Caja 6 UN,12.0,No encontrado,Hogar y Salud
Bactricofarm 200mg-40mg/5ml Suspensión Oral – Frasco 60ml,12.5,Sulfametoxazol 200mg | Trimetoprima 40mg,Hogar y Salud
Bactrim Balsámico Jarabe – Frasco 100 mL,21.2,Sulfametoxazol 200 Mg + Trimetoprima 4 Mg + Sulfaguayacol 50 Mg,Hogar y Salud
Bart H 150-12.5mg Comprimido,121.4,,Hogar y Salud
Bart H 300-25mg Comprimido,123.3,,Hogar y Salud
Beclometasona 250mcg/dosis Aerosol para inhalación – Frasco 200 DOSIS,20.0,,Hogar y Salud
Belarina 2mg / 0.02mg Tableta Recubierta – Caja 28 Un,66.9,Clormadinona 2 Mg +Etinilestradiol 0.02Mg,Hogar y Salud
Betacort Depot 10mg/2mL Suspensión Inyectable – Ampolla 2 ML,42.2,No encontrado,Hogar y Salud
Betametasona 0.05% Crema – Tubo 20 G,2.8,No encontrado,Hogar y Salud
Bicarbonato De Sodio – Bolsa 100 G,2.5,No encontrado,Hogar y Salud
Bicarbonato de Sodio en Polvo para Solución Oral – Pote 1000 G,18.6,No encontrado,Hogar y Salud
Bicerto 150mg Comprimido de Liberación prolongada – Caja 10 Un,36.0,Ketoprofeno 150 Mg,Hogar y Salud
Bidimefor 500 mg-5 mg Tabletas Recubiertas,73.9,,Hogar y Salud
Bilaxten 20mg Comprimidos,82.6,Bilastina 20mg,Hogar y Salud
Bio Electro Tableta Recubierta,10.0,"Paracetamol 250mg, Acido Acetilsalicilico, Cafeína 65mg",Hogar y Salud
Biogaia GTI Tableta Masticable – Caja 30 Un,124.0,,Hogar y Salud
Biogaia Protectis Baby Gotas suspensión Oral – Frasco 5 ML,65.4,,Hogar y Salud
Biogermin Solución oral gotas – Frasco 8ml,57.3,,Hogar y Salud
Biopiel Panthenol Crema Tópica – Tubo 20G,19.9,"DEXPANTENOL 5 GR , VITAMINA A 500 UI , VITAMINA E 1 GR",Hogar y Salud
Biperideno 2 Mg Tableta IQF,2.6,Biperideno 2 mg,Hogar y Salud
"Bismosan 87,33 mg /5mL Suspensión Oral – Frasco 150 ml",11.5,"Bismuto Subsalicilato 87,33 mg /5mL",Hogar y Salud
Bismucar Fresa – Frasco 150 ml,13.1,,Hogar y Salud
Bisolvon Para Niños 4mg/5ml Jarabe – Frasco 120 ML,22.0,Clorhidrato de Bromhexina 4mg,Hogar y Salud
Bromuro de Ipratropio 20mcg Aerosol,21.5,Bromuro de Ipratropio 20 mc,Hogar y Salud
Bronco Kids Jarabe – Frasco 250 mL,27.8,Propóleo + Miel de Abeja + Algarrobina + Ajo,Hogar y Salud
Broncophar Plus NF Jarabe – Frasco 120 ML,18.2,No encontrado,Hogar y Salud
Broncotrin Dilat Pediátrico Jarabe – Frasco 120 ML,16.9,No encontrado,Hogar y Salud
Bronpax 7.5 Mg/ Ml Solución oral gotas – Frasco 20 ML,52.0,Ambroxol 7.5 Mg,Hogar y Salud
Brosol Compuesto Solución – Frasco 120 ML,20.5,,Hogar y Salud
Caditar 200mg Cápsula,41.7,Celecoxib 200 Mg,Hogar y Salud
Caditar 400mg Cápsulas – Caja 10 Un,71.0,,Hogar y Salud
Cafiaspirina Forte Tabletas,10.2,,Hogar y Salud
Canesten 1% Crema antimicótica x 20g + Toallas Húmedas Bebecitos x 100 UN,24.4,,Hogar y Salud
Cefaclor 250mg/5ml Polvo Para Suspensión Oral – Frasco 75 ML,25.4,,Hogar y Salud
Cefaclor 500mg Cápsulas – Caja 10 UN,25.4,,Hogar y Salud
Cefalexina 500MG Cápsulas,6.8,,Hogar y Salud
Cefaloxime 250 Mg Suspensión Oral – Frasco 70 ML,46.4,Cefuroxima 250 mg,Hogar y Salud
Cefasabal Tabletas,21.0,Sabalserrulata 12.5Mg + Aesculushippocastanum 62.5Mg + Solidagovirgaurea 37.5Mg,Hogar y Salud
Cilostal 50 Mg Tabletas,135.9,Cilostazol 50 Mg,Hogar y Salud
Ciprofloxacino 500mg Tableta,3.2,,Hogar y Salud
Ciprogram 3% Gotas Oftálmicas – Frasco 2.5 mL,25.0,Ciprofloxacino 3mg,Hogar y Salud
Clanza 100mg Tableta Recubierta,33.5,Aceclofenaco 100 mg,Hogar y Salud
Clanza Cr 200mg Tableta Recubierta de Liberación Prolongada,49.0,Aceclofenaco 200 mg,Hogar y Salud
Clarimed 250 Mg/5 Ml Polvo para Suspensión Oral – Frasco 100 ML,78.5,,Hogar y Salud
Claritromicina 250mg/5ml Suspensión – Frasco 50 mL,16.6,,Hogar y Salud
Claritrox 500 Mg Tableta,24.0,Claritromicina 500mg,Hogar y Salud
Clavam Duo 875mg+125mg Comprimido recubierto – Caja 14 UN,83.2,,Hogar y Salud
Clavumox 600 Polvo para suspensión – Frasco 100 mL,98.7,,Hogar y Salud
Clindamicina 600mg/4mL Solución Inyectable,3.6,No encontrado,Hogar y Salud
Clindamicina FMD 300mg Cápsulas,6.9,,Hogar y Salud
Clindess 100mg Óvulos Vaginales,80.5,Clindamicina 100mg,Hogar y Salud
Clinfol 100Mg Óvulo – Caja 3 UN,38.2,,Hogar y Salud
Clinfol 100Mg Óvulo x 3 UN + Mycofentin 1000 Mg Cápsula Blanda Vaginal x 1 UN,72.0,,Hogar y Salud
Clinomin NF Solución Inyectable – Caja 1 UN,21.5,,Hogar y Salud
Clobuler 15mg/5ml Jarabe – Frasco 100ml,14.9,Ambroxol 15mg,Hogar y Salud
Clopisobal 75mg Tabletas Recubiertas – Caja 30 Un,91.0,Clopidogrel 75mg,Hogar y Salud
Clorelase Ungüento – Tubo 15 G,25.1,Neomicina 0.500g | Bacitracina Zinc 25 000 UI,Hogar y Salud
Clorfedan 10mg/ml IM.IV Solución Inyectable,13.5,Clorfenamina 10 mg/mL,Hogar y Salud
Clorfenamina maleato 10 mg/ml Solución Inyectable,2.5,Clorfenamina maleato 10 mg/mL,Hogar y Salud
Clotipide 250 Mg Cápsulas,27.3,Acidoursodeoxicolico 250 Mg,Hogar y Salud
Colicomecodan 10/500mg Tabletas Recubiertas,10.0,"Hioscina N-butilbromuro 10mg , Paracetamol 500mg",Hogar y Salud
Colmibe 20 Mmg /10 Mmg Comprimidos,179.0,Atorvastatina 20mg | Ezetimiba 10mg,Hogar y Salud
Colufase 100mg/5ml Polvo para Suspensión – Frasco 30 ML,30.0,NITAZOXANIDA 100mg,Hogar y Salud
Comtrex Antigripal Día (Sobre 5 Gr) – 3×2,6.0,,Hogar y Salud
Comtrex Antigripal Noche (Sobre 5 Gr) – 3×2,6.0,,Hogar y Salud
Consiv 18mg Comprimido recubierto – Caja 30 UN,156.0,,Hogar y Salud
Consiv 36mg Comprimido recubierto – Caja 30 UN,250.0,,Hogar y Salud
Consiv 54mg Comprimido recubierto – Caja 30 UN,327.0,,Hogar y Salud
Corbis 5mg Comprimidos Recubiertos,15.3,Bisoprolol 5mg,Hogar y Salud
Corentel 2.5mg Comprimido Recubierto,16.2,BISOPROLOL FUMARATO 2.5mg,Hogar y Salud
Corifan Solución oral Gotas – Frasco 20 ML,20.7,Clorfenamina maleato 1mg,Hogar y Salud
Corrilax Polvo para Solución Oral,5.3,Polietilenglicol3350 17 G,Hogar y Salud
Cortidiephar 5MG/5ML Jarabe – Frasco 120 ML,19.5,,Hogar y Salud
Cortiflex 0.025% Loción – Frasco 60 ML,26.3,Triamcinolona 0.025%,Hogar y Salud
Cortiflex 40 Mg/Ml Suspensión Inyectable – Caja 1 UN,40.3,ACETATO DE TRIAMCINOLONA,Hogar y Salud
Creon 25000/300mg Cápsula,240.0,,Hogar y Salud
Daflon 1000mg Comprimido Recubierto,57.8,Fracción flavonoide purificada y micronizada 1000 mg,Hogar y Salud
Daflon 500mg Comprimido Recubierto,35.2,Fracción flavonoide purificada y micronizada 500 mg Correspondiente a: Diosmina 90 % 450 mg Flavonoides expresados en Hesperidina 10 % 50 mg,Hogar y Salud
Davintex 90mg Comprimidos Recubiertos,56.9,Etoricoxib 90mg,Hogar y Salud
Decorten 0.5 mg/5 ml Elixir – Frasco 100 ML,21.4,Dexametasona 0.5 Mg,Hogar y Salud
Decorten 2 mg/5mL Elixir – Frasco 100 ML,25.9,Dexametasona 2 Mg,Hogar y Salud
Deflazacort 30mg Tableta,2.8,No encontrado,Hogar y Salud
Deltapred 5Mg/5Ml Jarabe – Frasco 120 ML,23.0,Prednisona 1 Mg,Hogar y Salud
Dencorub Extra Forte Ungüento Tópico – Pote 100 G,34.9,,Hogar y Salud
Dequazol Oral 250 Mg/5Ml Suspensión Oral – Frasco 120 ML,41.8,Metronidazol 250mg,Hogar y Salud
Desenfriol® Comprimidos Recubiertos,25.0,,Hogar y Salud
Desloratadina 5 Mg Tabletas recubiertas,3.0,Desloratadina 5 Mg,Hogar y Salud
Deslova 5mg Tableta Recubierta,75.0,Desloratadina 5mg,Hogar y Salud
Destolab 5% Crema Tópica – Tubo 30 G,34.9,Permetrina 5%,Hogar y Salud
Dexametasona 4 Mg Tabletas,2.6,Dexametasona 4 Mg,Hogar y Salud
Dexilant 30mg Cápsulas de liberación retardada – Caja 14 UN,97.5,,Hogar y Salud
Dexilant 60mg Cápsulas de Liberación Retardada – Caja 14 UN,144.0,,Hogar y Salud
Dibrolax 5 mg Tabletas,10.0,Picosulfato de sodio 5mg,Hogar y Salud
Diclodor 50mg Comprimidos Recubiertos,13.0,Diclofenaco 50mg,Hogar y Salud
Diclofenaco 50 Mg Tabletas,1.2,Diclofenaco 50 Mg,Hogar y Salud
Dicynone 500mg Cápsula,27.5,Etamsilato 500 Mg,Hogar y Salud
Digestase 80mg Tableta Masticable,16.7,,Hogar y Salud
Digestase 80mg Tableta Masticable,15.0,,Hogar y Salud
Dinegal 10 mg Tabletas,53.0,Flunarizina 10mg,Hogar y Salud
Diosmin H 450mg/50mg Comprimido Recubierto,144.0,Diosmina+Hesperidina,Hogar y Salud
Dioxaflex 75mg/3mL Solución inyectable,10.0,DICLOFENACO 75 MG,Hogar y Salud
Dioxaflex CB NF 50mg Cápsula Blanda,437.0,,Hogar y Salud
Dipharelax 60mg Solución Inyectable – Caja 1 Un,12.9,Orfenadrina Citrato 60mg/2mL,Hogar y Salud
Divina 0.15mg+0.03mg Tabletas Recubiertas – Caja 28 Un,10.7,Levonorgestrel 0.15mg | Etinilestradiol 0.03mg | Fumarato Ferroso 75mg,Hogar y Salud
Dolo Complex Cápsula,22.0,Diclofenaco sódico 50 mgVitamina B1 (Tiamina Clorhidrato) 50 mgVitamina B6 (Piridoxina Clorhidrato) 50 mgVitamina B12 (Cianocobalamina) 0.25 mg,Hogar y Salud
Dolo Neurobion 1% Gel – Tubo 30 G,21.9,,Hogar y Salud
Dolo Neurobion NF Cápsulas,11.2,"Tiamina clorhidrato (Vit B1), Piridoxina clorhidrato (Vit. B6), Cianocobalamina (Vit.B12), Diclofenaco sódico.",Hogar y Salud
Dolocordralan Extra Forte NF Cápsulas,13.2,,Hogar y Salud
Doloral Forte 200 mg/ 5 mL Suspensión Oral – Frasco 60 mL,21.9,Ibuprofeno 200 mg,Hogar y Salud
Dormidina 25mg Comprimido Recubierto – Caja 14 UN,31.0,Hidrogenosuccinato de Doxilamina 25mg,Hogar y Salud
Duphaston 10mg Tableta Recubierta – Caja 20 Un,111.7,Didrogesterona 10mg,Hogar y Salud
Efetamol 1G Gránulos Efervescentes – Caja 20 Un,27.4,Paracetamol 1g,Hogar y Salud
Elixir Estomacal Solución – Frasco 30 ML,1.5,No encontrado,Hogar y Salud
Enofibs 160mg Cápsula – Caja 20 Un,92.9,Fenofibrato 160mg,Hogar y Salud
Enterogermina Plus 4000 millones (4 millardos)/5mL Suspensión Oral,9.8,ESPORASDEBACILLUSCLAUSII 40000 UI,Hogar y Salud
Escitaspram 10mg Tableta Recubierta – Caja 20 UN,27.0,,Hogar y Salud
ESOP-AC® Tabletas Recubiertas – Caja 14 Portablister,288.0,,Hogar y Salud
Espironolactona 25mg Tabletas,6.3,Espironolactona 25 Mg,Hogar y Salud
Etalpram 10mg Comprimido Recubierto – Caja 10 UN,92.2,,Hogar y Salud
Etox 120mg Tableta Recubierta,42.0,Etoricoxib 120mg,Hogar y Salud
Eugica Coff Herbal Caramelos,4.9,Jengibre + Canela + Eucaliptol + Mentol,Hogar y Salud
Eutirox 75 Mcg Tabletas,24.3,Levotiroxina Sódica 75mcg,Hogar y Salud
Evacuol F NF Solución Oral – Frasco 45 ML,66.6,No encontrado,Hogar y Salud
Evacuol Plus Solución Rectal – Frasco 133 ML,34.0,,Hogar y Salud
Evacuol Plus Solución Rectal – Frasco 266 ML,45.6,,Hogar y Salud
Evalax Polvo – Frasco 250 G,83.7,Polietilenglicol 3350 100gr,Hogar y Salud
Evigax Forte 250mg Cápsula blanda – Caja 30 Un,98.0,Simeticona 250mg,Hogar y Salud
Ezentius 10 10 mg Comprimido Recubierto – Caja 30 UN,163.9,,Hogar y Salud
Fanter 10mg Comprimido recubierto – Caja 30 UN,134.0,,Hogar y Salud
Farma D 5000 UI Cápsulas – Frasco 30UN,80.7,No encontrado,Hogar y Salud
Farma D Gotas 200UI Solución oral – Frasco 10ml,52.8,"Cada 5 gotas contiene Vitamina D 1000 UI, Cada gota contiene 200 UI.",Hogar y Salud
Fastum 2.5% Gel – Tubo 30 G,24.8,ketoprofeno 2.5 Mg,Hogar y Salud
Fenazopiridina 100 Mg Tabletas,2.4,Fenazopiridina 100 Mg,Hogar y Salud
Fexafex 180 MG Tableta – Caja 10 UN,39.0,Fexofenadina,Hogar y Salud
Fexaller 30mg/5ml Suspensión Oral – Frasco 150 mL,48.5,Fexofenadina 30mg,Hogar y Salud
Filinar 50mg/5ml Solución oral – Frasco 120 ML,34.3,Acefilinato de ambroxol 50mg,Hogar y Salud
Flacort 6mg Tabletas,33.1,,Hogar y Salud
Flavoxil 200mg Tabletas Recubiertas – Caja 20 Un,57.8,Flavoxato 200mg,Hogar y Salud
Flogocox 90 90mg Comprimido Recubierto,79.4,,Hogar y Salud
Floril Smart Gamer 0.05% Solución Oftálmica – Frasco 10 Ml,14.9,Tetrahidrozolina Clorhidrato 0.5 mg,Hogar y Salud
Fluimexina 600 600mg Polvo para Solución Oral,2.7,Acetilcisteína 600mg,Hogar y Salud
Fluimucil 100 mg/5ml Jarabe – Frasco 120 mL,34.0,Acetilcisteína 100 mg,Hogar y Salud
Fluimucil Oral 100 mg Granulado para Solución Oral,1.9,Acetilcisteína 100mg,Hogar y Salud
Flutepharm Plus 250mcg/25mcg Suspensión para Inhalación – Frasco 120 Dosis,95.0,Salmeterol / Fluticasona,Hogar y Salud
Frutti Flex 50 Solución Oral Sabor Tutti Fruti – Frasco 1 L,7.3,Cloruro de Potasio 0.15g | Sacarosa 4g | Citrato de Sodio 0.29g | Cloruro de Sodio 0.12g,Hogar y Salud
Frutti Flex Solución Oral Sabor Anís – Frasco 1 L,7.3,Citrato de Potasio 0.29g | Cloruro de Sodio 0.12g | Cloruro de Potasio 0.15g | Sacarosa 4g,Hogar y Salud
Gabapentina 300mg Tableta,4.2,,Hogar y Salud
Gasless Max 80mg Tabletas Masticables – Caja 10 UN,15.0,,Hogar y Salud
Gaspan 40mg Comprimido recubierto gastrorresistente,61.2,Cada Comprimido Recubierto Gastrorresistente contiene 40 mg de pantoprazol (Como pantoprazol sódico sesquihidratado).,Hogar y Salud
Gel Lubricante de Placer Durex Cerezas de Pasión – Frasco 50 G,21.0,No encontrado,Hogar y Salud
Gel Lubricante Durex Naturals – Tubo 100 ML,42.0,,Hogar y Salud
Gel Lubricante Íntimo Five – Tubo 120 ML,21.0,,Hogar y Salud
Gel Lubricante Íntimo Five. Tubo 120 ML – 3×2,63.0,,Hogar y Salud
Gel Lubricante Íntimo Lubri Click – Tubo 120G,18.9,Lubricante Genital,Hogar y Salud
Gel Lubricante Love Sensitive Sachet,1.3,No encontrado,Hogar y Salud
Gel NB Probióticos Suspensión Oral – Frasco 100 ML,27.2,,Hogar y Salud
Ginacaba 2% Crema Vaginal – Tubo 20 G,30.0,Clotrimazol 2%,Hogar y Salud
Ginofuran XR Cápsula de Liberación Prolongada – Caja 20 UN,17.5,,Hogar y Salud
Gleminex 500mg-2.5mg Tableta Recubierta,48.0,"METFORMINA CLORHIDRATO 500mg, GLIBENCLAMIDA 2.5mg",Hogar y Salud
Glicerina Líquida – Frasco 60 ML,3.7,No encontrado,Hogar y Salud
Glicerina Solución – Frasco 30 ML,2.5,No encontrado,Hogar y Salud
Glimot 2mg Tableta,15.9,No encontrado,Hogar y Salud
Gloranta caliente limon jengibre,2.4,,Hogar y Salud
Glucen Duo 50mg + 1000mg Comprimidos,95.0,,Hogar y Salud
Glucophage XR 1000mg Comprimido de Liberación Prolongada,85.0,Metformina Clorhidrato 1000mg,Hogar y Salud
Gofen 400mg Cápsula Blanda,13.0,Ibuprofeno 400mg,Hogar y Salud
Gomitas Gummix para Dormir Adulto – Frasco 90 UN,48.9,,Hogar y Salud
Gravol 15 mg/ 5 mL Jarabe – Frasco 60 ML,52.5,Dimenhidrinato 15 mg,Hogar y Salud
Gravol 50mg Tabletas,38.0,Dimenhidrato 50mg,Hogar y Salud
Grifantil Jarabe. Frasco 60 ML – Duopack,53.6,,Hogar y Salud
Grip-10 Comprimido Recubierto,6.0,,Hogar y Salud
Gripacheck Cápsula Blanda,6.6,"BROMHIDRATO DE DEXTROMETORFANO 10mg, CLORHIDRATO DE FENILEFRINA 5mg, PARACETAMOL 325mg",Hogar y Salud
Gynocanesten 500 mg Tableta Vaginal – Caja 1 UN,48.0,No encontrado,Hogar y Salud
Gynocanesten® 1% Crema Vaginal + Toallas Húmedas Bebecitos x 100 UN,51.1,,Hogar y Salud
Hemopropin Ungüento – Tubo 20 G,32.5,,Hogar y Salud
Hemorroginol Cápsula Blanda,13.2,,Hogar y Salud
Hemorrolabs Tabletas Masticables,10.0,,Hogar y Salud
HEMZON Tabletas Masticables,8.0,Ruscus Aculeatus 20mg + Lactobacilus Sporogenes 8.30mg + Vitamina C 40mg,Hogar y Salud
Hidroxaneurin 10 Mg/2Ml Ampolla – Caja 1 Un,18.0,,Hogar y Salud
Hioscina Butilbromuro 10mg Tableta Recubierta – Caja 100 UN,6.5,,Hogar y Salud
Hioscina Escopolamina N-Butilbromuro 20mg/mL Solución Inyectable,3.5,,Hogar y Salud
Hiru-Hemaflam Forte Pomada – Tubo 20 G,16.5,No encontrado,Hogar y Salud
Hisaler 10mg/ml Solución Oral Gotas – Frasco 15 ML,50.5,,Hogar y Salud
"Hyalo Comfort 0,4% Solución Oftálmica – Frasco 15 ML",54.0,,Hogar y Salud
Ibuprofeno 400mg Tableta Recubierta,1.0,Ibuprofeno 400 mg,Hogar y Salud
Icaliv 1% Crema tópica – Tubo 20 G,24.4,,Hogar y Salud
Idofix Jarabe – Frasco 120 Ml,31.8,,Hogar y Salud
Infusión Gripal Dr. PÉREZ-ALBELA – Caja 15 UN,20.4,No encontrado,Hogar y Salud
Infusión Mujer Dr. PÉREZ-ALBELA – Caja 15 UN,20.4,No encontrado,Hogar y Salud
Irbesartan 150 Mg Tabletas,5.6,Irbesartan 150 Mg,Hogar y Salud
Itubiof 500mg/2ml Solución Inyectable,15.0,,Hogar y Salud
Kallozil 17 g/100 Ml Solución tópica – Frasco 8 ML,20.5,Ácido Salicílico 17g,Hogar y Salud
Keflex 250 mg/5 ml Suspensión Oral – Frasco 100 ML,94.0,,Hogar y Salud
Kenaflam 0.025% Crema Tópica – Tubo 60 G,19.5,"Triamcinolona 0,025%",Hogar y Salud
Ketesse 50mg/2ml Solución Inyectable,20.8,Dexketoprofeno 50 mg/2 mL,Hogar y Salud
Ketoprofeno 100mg/5mL Solución Inyectable,3.0,No encontrado,Hogar y Salud
Ketorges 60mg/2ml Solución Inyectable – Caja 25 Ampollas,350.0,,Hogar y Salud
Kinemax 25 mg Comprimidos Recubiertos,31.0,Dexketoprofeno 25mg,Hogar y Salud
Kit Varonil (2 Dprost Premium + 1 Dprost Sex ),149.0,No encontrado,Hogar y Salud
Laxoven Enema Solucion – Frasco 120 ML,21.5,,Hogar y Salud
Laxoven Enema Solucion – Frasco 240 ML,30.9,,Hogar y Salud
Lesstamin 2.5mg/5ml Jarabe – Frasco 60ml,26.4,Levocetirizina diclorhidrato 2.5 mg / 5 ml,Hogar y Salud
Levofloxacino 500mg Tabletas Recubierta,15.0,Levofloxacino 500 Mg,Hogar y Salud
Libbera 2.5 Mg/5 Ml Jarabe – Frasco 60 mL,48.0,Levocetirizina 2.5mg,Hogar y Salud
Limonada Purgante Markos Solución oral – Frasco 200 ML,7.5,,Hogar y Salud
Limonada Purgante Markos-Libre De Calorías – Frasco 200 ML,7.5,"Picosulfato Sódico 2.50mg | Acido Tartárico 3000,00 mg | Acido Fosfórico (equivalente a 2550,00 mg de Fosfato disódico) 1760,00 mg",Hogar y Salud
Lincomicina PHARG 600mg/2ml Solución inyectable,2.2,,Hogar y Salud
Losartan 50mg Tableta Recubierta – Caja 60 UN,18.0,,Hogar y Salud
Lubricante Íntimo Five Lube – Tubo 60 ML,17.2,,Hogar y Salud
Lubricante Íntimo Five Lube. Tubo 60 ML – 3×2,51.6,,Hogar y Salud
Lubricante Íntimo Five Sachet – Caja 5 UN,11.5,,Hogar y Salud
Lubricante Íntimo Five Sachet. Caja 5 UN – 3×2,34.5,,Hogar y Salud
Lymphdiaral Injektopas Solución Inyectable,13.5,Taraxcum – Conium – Hydrastis,Hogar y Salud
Macho Dprost Huanarpo Tabletas. Frasco 30 UN – Tripack,149.0,No encontrado,Hogar y Salud
Magnealiv 415MG/5ML Tutti Frutti Suspensión Oral – Frasco 150 ML,7.8,No encontrado,Hogar y Salud
Magnealiv Kids Sabor Durazno – Frasco 150 ML,8.3,No encontrado,Hogar y Salud
Maite Clormadinona + etinilestradiol 2.00mg+0.03 – Caja 21 UN,36.6,,Hogar y Salud
Mason Melatonin 500 Mcg – Frasco 60 UN,65.9,,Hogar y Salud
Massulf 800mg/160mg Tableta,11.0,,Hogar y Salud
Maxicef 400 Mg Comprimidos recubiertos – Caja 8 Un,96.8,Cefixima anhidro 400mg,Hogar y Salud
Mczone-1000 IM/IV – Caja 1 VIAL,11.5,,Hogar y Salud
Mebo 0.25% Ungüento – Tubo 30 G,85.6,sitosterol 0.25%,Hogar y Salud
Mecofarflex MSN Sabor Naranja – Caja 30 SOBRES,3.5,,Hogar y Salud
Meconadol Plus 150/500mg Tabletas Recubiertas,17.0,Ibuprofeno 150mg| Paracetamol 500mg,Hogar y Salud
Medibeta 0.05% Crema Tópica – Tubo 20 G,15.0,Betametasona 0.05%,Hogar y Salud
Medicort 4mg/2ml Solución Inyectable,8.0,Dexametasona 4mg/2ml,Hogar y Salud
Medivel NF 0.75% Gel Vaginal – Tubo 40 G,55.9,,Hogar y Salud
Mejoral Migraña 250mg + 250mg + 65mg Tableta Recubierta,2.2,,Hogar y Salud
Melatonina 3mg Tableta,30.0,,Hogar y Salud
Mensille 25-5mg/0.5ml Solución Inyectable – Caja 1 Un,20.9,Acetato de Medroxiprogesterona 25mg | Cipionato de Estradiol 5mg,Hogar y Salud
Mericox 120mg Tabletas Recubiertas – Caja 7 Un,47.7,Etoricoxib 120mg,Hogar y Salud
Metamucil Sabor Naranja 3.26 g / 5.8 g Polvo para Suspensión Oral,3.1,,Hogar y Salud
Metamucil Sabor Naranja 3.26 g / 5.8 g Polvo para Suspensión Oral – Pote 174 G,44.9,,Hogar y Salud
Metoclopramida 10 Mg Tabletas – Caja 100 UN,10.0,Metoclopramida 10 Mg,Hogar y Salud
Metoclopramida 10mg/2mL Solución Inyectable,3.1,,Hogar y Salud
Metronidazol 500mg Solución inyectable – Caja 1 UN,6.5,,Hogar y Salud
Micopirox 8 % Laca para Uñas – Frasco 5 mL,81.4,Ciclopirox 8 %,Hogar y Salud
Minot 100 Mg Cápsulas de Liberación Prolongada,68.6,,Hogar y Salud
Moxcda 400mg Tabletas Recubiertas – Caja 10 UN,170.0,,Hogar y Salud
Mucocar 100 Mg/5 Ml Solución Oral – Frasco 120 ML,29.3,,Hogar y Salud
Mucomecomoxil 250mg-4mg/5ml Suspensión Oral – Frasco 60ml,14.9,Amoxicilina 250mg | Bromhexina 4mg,Hogar y Salud
Mucophartoss E Solución Oral – Caja 120ml,16.5,Dextrometorfano 10mg | Guaifenesina 100mg,Hogar y Salud
