Producto;Precio;PrincipioActivo
Enterogermina Plus 4000 millones (4 millardos)/5mL Suspensión Oral;9.8;No encontrado
Escitaspram 10mg Tableta Recubierta – Caja 20 UN;27.0;No encontrado
ESOP-AC® Tabletas Recubiertas – Caja 14 Portablister;288.0;No encontrado
Espironolactona 25mg Tabletas;6.3;No encontrado
Etalpram 10mg Comprimido Recubierto – Caja 10 UN;92.2;No encontrado
Etox 120mg Tableta Recubierta;42.0;No encontrado
Eugica Coff Herbal Caramelos;4.9;No encontrado
Eutirox 75 Mcg Tabletas;24.3;No encontrado
Evacuol F NF Solución Oral – Frasco 45 ML;66.6;No encontrado
Evacuol Plus Solución Rectal – Frasco 133 ML;34.0;No encontrado
Evacuol Plus Solución Rectal – Frasco 266 ML;45.6;No encontrado
Evalax Polvo – Frasco 250 G;83.7;No encontrado
Evigax Forte 250mg Cápsula blanda – Caja 30 Un;98.0;No encontrado
Ezentius 10 10 mg Comprimido Recubierto – Caja 30 UN;163.9;No encontrado
Fanter 10mg Comprimido recubierto – Caja 30 UN;134.0;No encontrado
Farma D 5000 UI Cápsulas – Frasco 30UN;80.7;No encontrado
Farma D Gotas 200UI Solución oral – Frasco 10ml;52.8;No encontrado
Fastum 2.5% Gel – Tubo 30 G;24.8;No encontrado
Fenazopiridina 100 Mg Tabletas;2.4;No encontrado
Fexafex 180 MG Tableta – Caja 10 UN;39.0;No encontrado
Fexaller 30mg/5ml Suspensión Oral – Frasco 150 mL;48.5;No encontrado
Filinar 50mg/5ml Solución oral – Frasco 120 ML;34.3;No encontrado
Flacort 6mg Tabletas;33.1;No encontrado
Flavoxil 200mg Tabletas Recubiertas – Caja 20 Un;57.8;No encontrado
Flogocox 90 90mg Comprimido Recubierto;79.4;No encontrado
Floril Smart Gamer 0.05% Solución Oftálmica – Frasco 10 Ml;14.9;No encontrado
Fluimexina 600 600mg Polvo para Solución Oral;2.7;No encontrado
Fluimucil 100 mg/5ml Jarabe – Frasco 120 mL;34.0;No encontrado
Fluimucil Oral 100 mg Granulado para Solución Oral;1.9;No encontrado
Flutepharm Plus 250mcg/25mcg Suspensión para Inhalación – Frasco 120 Dosis;95.0;No encontrado
Frutti Flex 50 Solución Oral Sabor Tutti Fruti – Frasco 1 L;7.3;No encontrado
Frutti Flex Solución Oral Sabor Anís – Frasco 1 L;7.3;No encontrado
Gabapentina 300mg Tableta;4.2;No encontrado
Gasless Max 80mg Tabletas Masticables – Caja 10 UN;15.0;No encontrado
Gaspan 40mg Comprimido recubierto gastrorresistente;61.2;No encontrado
Gel Lubricante de Placer Durex Cerezas de Pasión – Frasco 50 G;21.0;No encontrado
Gel Lubricante Durex Naturals – Tubo 100 ML;42.0;No encontrado
Gel Lubricante Íntimo Five – Tubo 120 ML;21.0;No encontrado
Gel Lubricante Íntimo Five. Tubo 120 ML – 3×2;63.0;No encontrado
Gel Lubricante Íntimo Lubri Click – Tubo 120G;18.9;No encontrado
Gel Lubricante Love Sensitive Sachet;1.3;No encontrado
Gel NB Probióticos Suspensión Oral – Frasco 100 ML;27.2;No encontrado
Ginacaba 2% Crema Vaginal – Tubo 20 G;30.0;No encontrado
Ginofuran XR Cápsula de Liberación Prolongada – Caja 20 UN;17.5;No encontrado
Gleminex 500mg-2.5mg Tableta Recubierta;48.0;No encontrado
Glicerina Líquida – Frasco 60 ML;3.7;No encontrado
Glicerina Solución – Frasco 30 ML;2.5;No encontrado
Glimot 2mg Tableta;15.9;No encontrado
Gloranta caliente limon jengibre;2.4;No encontrado
Glucen Duo 50mg + 1000mg Comprimidos;95.0;No encontrado
Glucophage XR 1000mg Comprimido de Liberación Prolongada;85.0;No encontrado
Gofen 400mg Cápsula Blanda;13.0;No encontrado
Gomitas Gummix para Dormir Adulto – Frasco 90 UN;48.9;No encontrado
Gravol 15 mg/ 5 mL Jarabe – Frasco 60 ML;52.5;No encontrado
Gravol 50mg Tabletas;38.0;No encontrado
Grifantil Jarabe. Frasco 60 ML – Duopack;53.6;No encontrado
Grip-10 Comprimido Recubierto;6.0;No encontrado
Gripacheck Cápsula Blanda;6.6;No encontrado
Gynocanesten 500 mg Tableta Vaginal – Caja 1 UN;48.0;No encontrado
Gynocanesten® 1% Crema Vaginal + Toallas Húmedas Bebecitos x 100 UN;51.1;No encontrado
Hemopropin Ungüento – Tubo 20 G;32.5;No encontrado
Hemorroginol Cápsula Blanda;13.2;No encontrado
Hemorrolabs Tabletas Masticables;10.0;No encontrado
HEMZON Tabletas Masticables;8.0;No encontrado
Hidroxaneurin 10 Mg/2Ml Ampolla – Caja 1 Un;18.0;No encontrado
Hioscina Butilbromuro 10mg Tableta Recubierta – Caja 100 UN;6.5;No encontrado
Hioscina Escopolamina N-Butilbromuro 20mg/mL Solución Inyectable;3.5;No encontrado
Hiru-Hemaflam Forte Pomada – Tubo 20 G;16.5;No encontrado
Hisaler 10mg/ml Solución Oral Gotas – Frasco 15 ML;50.5;No encontrado
"Hyalo Comfort 0;4% Solución Oftálmica – Frasco 15 ML";54.0;No encontrado
Ibuprofeno 400mg Tableta Recubierta;1.0;No encontrado
Icaliv 1% Crema tópica – Tubo 20 G;24.4;No encontrado
Idofix Jarabe – Frasco 120 Ml;31.8;No encontrado
Infusión Gripal Dr. PÉREZ-ALBELA – Caja 15 UN;20.4;No encontrado
Infusión Mujer Dr. PÉREZ-ALBELA – Caja 15 UN;20.4;No encontrado
Irbesartan 150 Mg Tabletas;5.6;No encontrado
Itubiof 500mg/2ml Solución Inyectable;15.0;No encontrado
Kallozil 17 g/100 Ml Solución tópica – Frasco 8 ML;20.5;No encontrado
Keflex 250 mg/5 ml Suspensión Oral – Frasco 100 ML;94.0;No encontrado
Kenaflam 0.025% Crema Tópica – Tubo 60 G;19.5;No encontrado
Ketesse 50mg/2ml Solución Inyectable;20.8;No encontrado
Ketoprofeno 100mg/5mL Solución Inyectable;3.0;No encontrado
Ketorges 60mg/2ml Solución Inyectable – Caja 25 Ampollas;350.0;No encontrado
Kinemax 25 mg Comprimidos Recubiertos;31.0;No encontrado
Kit Varonil (2 Dprost Premium + 1 Dprost Sex );149.0;No encontrado
Laxoven Enema Solucion – Frasco 120 ML;21.5;No encontrado
Laxoven Enema Solucion – Frasco 240 ML;30.9;No encontrado
Lesstamin 2.5mg/5ml Jarabe – Frasco 60ml;26.4;No encontrado
Levofloxacino 500mg Tabletas Recubierta;15.0;No encontrado
Libbera 2.5 Mg/5 Ml Jarabe – Frasco 60 mL;48.0;No encontrado
Limonada Purgante Markos Solución oral – Frasco 200 ML;7.5;No encontrado
Limonada Purgante Markos-Libre De Calorías – Frasco 200 ML;7.5;No encontrado
Lincomicina PHARG 600mg/2ml Solución inyectable;2.2;No encontrado
Losartan 50mg Tableta Recubierta – Caja 60 UN;18.0;No encontrado
Lubricante Íntimo Five Lube – Tubo 60 ML;17.2;No encontrado
Lubricante Íntimo Five Lube. Tubo 60 ML – 3×2;51.6;No encontrado
Lubricante Íntimo Five Sachet – Caja 5 UN;11.5;No encontrado
Lubricante Íntimo Five Sachet. Caja 5 UN – 3×2;34.5;No encontrado
Lymphdiaral Injektopas Solución Inyectable;13.5;No encontrado
Macho Dprost Huanarpo Tabletas. Frasco 30 UN – Tripack;149.0;No encontrado
Magnealiv 415MG/5ML Tutti Frutti Suspensión Oral – Frasco 150 ML;7.8;No encontrado
Magnealiv Kids Sabor Durazno – Frasco 150 ML;8.3;No encontrado
Maite Clormadinona + etinilestradiol 2.00mg+0.03 – Caja 21 UN;36.6;No encontrado
Mason Melatonin 500 Mcg – Frasco 60 UN;65.9;No encontrado
Massulf 800mg/160mg Tableta;11.0;No encontrado
Maxicef 400 Mg Comprimidos recubiertos – Caja 8 Un;96.8;No encontrado
Mczone-1000 IM/IV – Caja 1 VIAL;11.5;No encontrado
Mebo 0.25% Ungüento – Tubo 30 G;85.6;No encontrado
Mecofarflex MSN Sabor Naranja – Caja 30 SOBRES;3.5;No encontrado
Meconadol Plus 150/500mg Tabletas Recubiertas;17.0;No encontrado
Medibeta 0.05% Crema Tópica – Tubo 20 G;15.0;No encontrado
Medicort 4mg/2ml Solución Inyectable;8.0;No encontrado
Medivel NF 0.75% Gel Vaginal – Tubo 40 G;55.9;No encontrado
Mejoral Migraña 250mg + 250mg + 65mg Tableta Recubierta;2.2;No encontrado
Melatonina 3mg Tableta;30.0;No encontrado
Mensille 25-5mg/0.5ml Solución Inyectable – Caja 1 Un;20.9;No encontrado
Mericox 120mg Tabletas Recubiertas – Caja 7 Un;47.7;No encontrado
Metamucil Sabor Naranja 3.26 g / 5.8 g Polvo para Suspensión Oral;3.1;No encontrado
Metamucil Sabor Naranja 3.26 g / 5.8 g Polvo para Suspensión Oral – Pote 174 G;44.9;No encontrado
Metoclopramida 10 Mg Tabletas – Caja 100 UN;10.0;No encontrado
Metoclopramida 10mg/2mL Solución Inyectable;3.1;No encontrado
Metronidazol 500mg Solución inyectable – Caja 1 UN;6.5;No encontrado
Micopirox 8 % Laca para Uñas – Frasco 5 mL;81.4;No encontrado
Minot 100 Mg Cápsulas de Liberación Prolongada;68.6;No encontrado
Moxcda 400mg Tabletas Recubiertas – Caja 10 UN;170.0;No encontrado
Mucocar 100 Mg/5 Ml Solución Oral – Frasco 120 ML;29.3;No encontrado
Mucomecomoxil 250mg-4mg/5ml Suspensión Oral – Frasco 60ml;14.9;No encontrado
Mucophartoss E Solución Oral – Caja 120ml;16.5;No encontrado
Multi 3 Max Solución Hidrazym Multiproposito – Frasco 60 ML;18.0;No encontrado
Multi-bioticos Pastilla dura con sabores variados Naranja/Menta;2.7;No encontrado
Multiflora Plus Cápsula;135.0;No encontrado
Multiflora Polvo para Suspensión;73.0;No encontrado
Mutum 150mg Cápsula – Caja 4 UN;28.0;No encontrado
Mycofentin 1000 Mg Cápsula Blanda Vaginal – Caja 1 UN;43.1;No encontrado
Mylanta Dos Suspensión Fresa – Frasco 240 ML;27.3;No encontrado
Nat D 1000UI Tableta – Frasco 60 Un;51.0;No encontrado
Neo Nisoprex 15Mg/5Ml Jarabe – Frasco 100 mL;28.0;No encontrado
Neonypol Cápsula Blanda Vaginal;26.0;No encontrado
Neopresol 10 mg Comprimidos;229.0;No encontrado
Netaf 10 mg/ml Suspensión Oral Gotas – Frasco 20 ML;62.8;No encontrado
Neumocortplus 160mcg/4.5mcg/dosis Aerosol para inhalación – Caja 1 UN;104.2;No encontrado
Neurodioxaflex 50mg + 50mg + 50mg + 0.25mg Cápsula;19.2;No encontrado
Neurotol 100MG Tableta Recubierta – Caja 10 UN;43.0;No encontrado
Neurotol 25MG Tableta Recubierta – Caja 10 UN;22.0;No encontrado
Nimodipino 30mg Tableta;9.0;No encontrado
Nistaglos Ungüento – Tubo 30 G;43.1;No encontrado
Nodon 5mg Tabletas;120.0;No encontrado
Notfebril Jarabe – Frasco 60 ML;9.5;No encontrado
Novocortil-L NF Crema – Tubo 15 G;27.4;No encontrado
Omeprazol 40mg Polvo para Solución Inyectable;5.5;No encontrado
Oromet 850mg Tabletas Recubiertas;100.0;No encontrado
Oromet XR 1000mg Tableta de Liberación Prolongada;16.5;No encontrado
Oseomec 150mg Tableta – Caja 1 Un;49.9;No encontrado
Ovejillo Stevia Plus Líquido – Frasco 100 mL;20.0;No encontrado
Panadol Forte (Sob/2 Tab);2.0;No encontrado
Pantoderm Crema – Tubo 30 G;18.9;No encontrado
Pantopranex 40mg Tableta;34.0;No encontrado
Pepto-Bismol Sabor Cereza 525mg / 30ml Suspensión Oral – Frasco 118 ML;15.0;No encontrado
Pepto-Bismol Sabor Cereza 525mg / 30ml Suspensión Oral – Frasco 236 ML;25.0;No encontrado
Phyto Soya Gel vaginal – Caja 8 Un;73.7;No encontrado
Piroxicam 20 Mg Tabletas;1.0;No encontrado
Plidan compuesto 10mg+500mg Comprimido Recubierto – Caja 100 Un;94.0;No encontrado
Polcem 6MG/ML Solución Oral – Frasco 10ml;22.1;No encontrado
Portil Crema NF Portugal – Tubo 20 G;8.9;No encontrado
Posulen 90mg Óvulos;5.0;No encontrado
Powers’ X Gold Comprimidos – Frasco 20 UN;85.0;No encontrado
Preservativo CLICK Clásico – Caja 3 UN;3.8;No encontrado
Preservativo Durex Clasico – Caja 12 Un;27.9;No encontrado
Preservativo Five Extreme – Caja 5 UN;7.8;No encontrado
Preservativo Five Extreme. Caja 5 UN – 3×2;23.4;No encontrado
Preservativo Five Time Efecto Retardante – Caja 5 UN;8.0;No encontrado
Preservativo Five Time Efecto Retardante. Caja 5 UN – 3×2;24.0;No encontrado
Preservativo Gents Retardante. Caja 3 UN – 3×2;17.7;No encontrado
Preservativos Durex Extra Seguro – Caja 3 UN;10.5;No encontrado
Preservativos Durex Invisible – Caja 3 UN;11.4;No encontrado
Preservativos Durex Real Feel – Caja 3 UN;11.9;No encontrado
Preservativos Five Hot – Caja 5 UN;7.7;No encontrado
Preservativos Five Hot. Caja 5 UN – 3×2;23.1;No encontrado
Preservativos Five Original – Caja 5 UN;7.9;No encontrado
Preservativos Five Original. Caja 5 UN – 3×2;23.7;No encontrado
Preservativos Five Skin Ultra Sensible – Caja 5 UN;7.8;No encontrado
Preservativos Five Skin Ultra Sensible. Caja 5 UN – 3×2;23.4;No encontrado
Preservativos Five Steel Doble Textura – Caja 5 UN;7.8;No encontrado
Preservativos Five Steel Doble Textura. Caja 5 UN – 3×2;23.4;No encontrado
Preservativos Five XL – Caja 5 UN;8.0;No encontrado
Preservativos Five XL. Caja 5 UN – 3×2;24.0;No encontrado
Preservativos Gents Clásico. Caja 3 UN – 3×2;18.0;No encontrado
Preservativos Gents con Aros – Caja 3 UN;5.9;No encontrado
Preservativos Gents con Aros. Caja 3 UN – 3×2;18.0;No encontrado
Preservativos Gents con Espuelas. Caja 3 UN – 3×2;18.0;No encontrado
Prevenil 5 Comprimido;54.0;No encontrado
Prima Prueba de Próstata PSA – Caja 1 UN;38.0;No encontrado
Pripax 150mg Cápsula – Caja 10 UN;39.6;No encontrado
Procthyl 5-1% Ungüento – Tubo 20 G;37.8;No encontrado
Promestine 1% Crema vaginal – Tubo 15 G;40.7;No encontrado
Provera 5 Mg Tabletas;17.3;No encontrado
Restorflora BC 5mL Ampolla Bebible;3.5;No encontrado
Reteven CR 10 Mg Comprimidos Recubiertos – Caja 10 UN;78.5;No encontrado
Reumafrost NF Ungüento – Pote 60 G;15.2;No encontrado
Rhino-BB DM 0.9% Solución Gotas Nasales – Frasco 15 ML;11.5;No encontrado
Rinokid 3% Solución Nasal para Nebulización – Frasco 25 ML;28.5;No encontrado
Rinomar Babies Isotónico Higiene Diaria Solución para pulverización nasal – Frasco 30 ML;29.5;No encontrado
Risperidona 2 Mg Tableta;8.0;No encontrado
Roaccutan 10mg Cápsulas Blandas;132.7;No encontrado
Roaccutan 20mg Cápsulas Blandas;162.0;No encontrado
Rupafin 10mg Comprimidos;48.2;No encontrado
Rylamax 1G Polvo Para Solución Inyectable – Caja 1 Vial + Solvente;16.9;No encontrado
Secnizol 2g Gránulos para Solución Oral – Caja 1 Sobre;25.0;No encontrado
Serotocaf 500mg Cápsula;20.0;No encontrado
Shampoo Micopirox 1% Champú – Frasco 100 mL;48.2;No encontrado
Sildenafilo 100mg Tableta Recubierta;6.0;No encontrado
Sildenafilo 50mg Tableta Recubierta;4.7;No encontrado
Somatinn 1mg Tabletas;6.9;No encontrado
Spasmomen 40 Mg Tabletas Recubiertas;38.0;No encontrado
Spasmonium 40mg Tableta Recubierta;34.0;No encontrado
Sprainer Solución Oftálmica – Frasco 80 mL;68.5;No encontrado
Sulconar 25mg-250mg Tableta;115.4;No encontrado
Sulfanil 1% Crema – Tubo 20 G;12.9;No encontrado
Sutras 20mg Tabletas;60.0;No encontrado
Synthroid 100mcg Tabletas;32.0;No encontrado
Synthroid 25mcg Tabletas;16.8;No encontrado
Synthroid 75mcg Tabletas;27.5;No encontrado
Systalan en Ocuvial Solución oftálmica estéril – Caja 30 UN;134.6;No encontrado
TalenTum 10 MG Tableta Recubierta – Caja 30 UN;77.7;No encontrado
Talflex Bi 150Mg Comprimidos – Caja 14 Un;56.0;No encontrado
Tamsulosina 0.4mg Cápsulas de liberación prolongada;7.7;No encontrado
TDN Allergy 10mg Cápsula Blanda;16.0;No encontrado
Tensoflow 5mg Tableta Recubierta;84.0;No encontrado
Teraliv 5mg Tabletas;10.0;No encontrado
Thyrofix 100mcg Tableta;6.0;No encontrado
Thyrofix 50mcg Tableta;4.6;No encontrado
Tintura de Yodo Solución – Frasco 30 ML;3.9;No encontrado
"Tobrazol DX 0;3% + 0;1% ungüento oftálmico";50.9;No encontrado
Tonopan Migraña 250mg +250mg + 65mg Tableta Recubierta;1.5;No encontrado
Tonopan Niños Gotas – Frasco 15 ML;10.5;No encontrado
"Topicalm 0;05% Crema – Tubo 30 G";27.0;No encontrado
Tretocheck 20mg Cápsulas Blandas;38.4;No encontrado
Ursodex 300 mg Comprimidos;162.0;No encontrado
Ursoflow 250mg Cápsulas – Caja 30 Un;143.5;No encontrado
Valtero 500mg Tabletas Recubiertas;81.0;No encontrado
Vanthia 10mg Tabletas;32.0;No encontrado
Vaselina Reuter con Perfume – Lata 5 G;1.2;No encontrado
Vaselina Reuter sin Perfume – Lata 5 G;1.0;No encontrado
Vaselina Sólida Alkofarma – Pote 100 G;7.1;No encontrado
Vaselina Sólida Dismed – Pote 30 G;3.3;No encontrado
